1,1,6,FRT
2,7,78,MAT
3,79,125,MRK
4,126,202,LUK
5,203,258,JHN
6,259,332,ACT
7,333,369,ROM
8,370,404,1CO
9,405,428,2CO
10,429,441,GAL
11,442,455,EPH
12,456,464,PHP
13,465,473,COL
14,474,481,1TH
15,482,486,2TH
16,487,496,1TI
17,497,503,2TI
18,504,508,TIT
19,509,511,PHM
20,512,539,HEB
21,540,548,JAS
22,549,558,1PE
23,559,564,2PE
24,565,573,1JN
25,574,575,2JN
26,576,577,3JN
27,578,580,JUD
28,581,615,REV
29,616,624,TOP
